name|state, country|best attractions|best time of year|how to get there|climate
golden gate gardens|suspended, skyland|hanging gardens, skywalks|year-round|fly to golden bridge airport|subtropical
penguin paradise|iceberg island, arctic|penguin colonies, wildlife tours|year-round|fly to snowflake airport|polar
candy cane lane|sweet street, candyland|candy factory tours, gingerbread houses|year-round|fly to peppermint airport|temperate
floating islands|skybound, aerialand|hot air balloon rides, island hopping|year-round|fly to skyloft airport|mild
thunderstorm plains|lightning valley, stormland|storm watching, lightning photography|year-round|fly to thunderbolt airport|semi-arid
ancient archive|historia, timelessland|ancient libraries, history tours|year-round|fly to timeless tomes airport|temperate
astral atoll|starlit islands, celestialland|stargazing, nighttime beaches|year-round|fly to constellation airport|tropical
willow whispers|weeping woods, treehaven|willow tree forests, canoe rides|april to october|fly to weeping willow airport|mild
terra firma|geology, earthland|rock formations, geological tours|year-round|fly to solid ground airport|mountain
sunflower fields|sunlit plains, flowerland|sunflower photography, flower festivals|june to august|fly to sunshine airport|mediterranean
frostwing falls|frozen waterfalls, iceworld|ice climbing, frozen waterfall hikes|december to february|fly to icicle airport|subarctic
nebula bay|galactic coast, spaceworld|galaxy photography, stargazing|year-round|fly to cosmic cove airport|oceanic
lantern grove|illuminated forest, lightland|lantern festivals, tree lighting|year-round|fly to radiant woods airport|temperate
sapphire sea|gemstone coast, jewel ocean|blue beaches, snorkeling|year-round|fly to sapphire shores airport|tropical
clockwork city|mechanical, gearland|clockwork exhibits, steampunk events|year-round|fly to timepiece airport|urban
butterfly meadows|winged wonders, insectland|butterfly gardens, caterpillar nurseries|april to september|fly to flutterby airport|temperate
cherry pie cove|dessertland, sweet shores|cherry orchards, pie tastings|june to august|fly to cherry delight airport|oceanic
glass beach|sea glass, crystal coast|beachcombing, glass sculpture exhibits|year-round|fly to glass ocean airport|mediterranean
gravity grove|weightless woods, floatland|zero gravity experiences, forest walks|year-round|fly to anti-gravity airport|mild
firefly forest|bioluminescent, glowland|firefly tours, nighttime forest walks|year-round|fly to firefly airport|temperate
atlantis isle|lost city, oceanworld|underwater ruins, scuba diving|year-round|fly to atlantis airport|tropical
golden gate gardens|suspended, skyland|hanging gardens, skywalks|year-round|fly to golden bridge airport|subtropical
penguin paradise|iceberg island, arctic|penguin colonies, wildlife tours|year-round|fly to snowflake airport|polar
candy cane lane|sweet street, candyland|candy factory tours, gingerbread houses|year-round|fly to peppermint airport|temperate
floating islands|skybound, aerialand|hot air balloon rides, island hopping|year-round|fly to skyloft airport|mild
thunderstorm plains|lightning valley, stormland|storm watching, lightning photography|year-round|fly to thunderbolt airport|semi-arid
painted desert|colorful sands, arid art|sand dunes, desert paintings|march to november|fly to chromatic sands airport|desert
ancient archive|historia, timelessland|ancient libraries, history tours|year-round|fly to timeless tomes airport|temperate
astral atoll|starlit islands, celestialland|stargazing, nighttime beaches|year-round|fly to constellation airport|tropical
willow whispers|weeping woods, treehaven|willow tree forests, canoe rides|april to october|fly to weeping willow airport|mild
terra firma|geology, earthland|rock formations, geological tours|year-round|fly to solid ground airport|mountain
sunflower fields|sunlit plains, flowerland|sunflower photography, flower festivals|june to august|fly to sunshine airport|mediterranean
frostwing falls|frozen waterfalls, iceworld|ice climbing, frozen waterfall hikes|december to february|fly to icicle airport|subarctic
nebula bay|galactic coast, spaceworld|galaxy photography, stargazing|year-round|fly to cosmic cove airport|oceanic
spiral cove|whirlpool beach, spinland|beachcombing, spiral artwork|year-round|fly to vortex shores airport|tropical
eternal falls|timeless waters, cascade kingdom|waterfall photography, hiking|year-round|fly to everflow airport|mild
wisteria walk|lavender lanes, floral forest|wisteria gardens, spring festivals|april to may|fly to wisteria breeze airport|temperate
frostfire caverns|iceflame, polar blaze|ice caves, fire sculpture gardens|year-round|fly to frostfire airport|subpolar
bonsai beach|tiny trees, miniatureland|bonsai gardens, beach picnics|year-round|fly to little paradise airport|tropical
zenith peaks|summit skies, mountainland|mountain climbing, paragliding|june to september|fly to apex heights airport|alpine
dolphin bay|playful sea, aquaticland|dolphin encounters, marine life tours|year-round|fly to dolphin dance airport|tropical
stepping stone forest|rocky woods, stonehaven|stone pathways, forest trails|april to october|fly to pebble path airport|temperate
pegasus point|mythical meadows, cloud kingdom|wild horse tours, cloud watching|year-round|fly to winged horse airport|mild
eucalyptus estates|koala country, greeneryland|koala sanctuaries, eucalyptus forests|year-round|fly to koala cove airport|temperate
fountain of youth|immortal island, everland|youth elixir spa, ageless activities|year-round|fly to timeless oasis airport|tropical
jellyfish jungle|bioluminescent bay, glowland|nighttime snorkeling, jellyfish tours|year-round|fly to glowing sea airport|subtropical
peacock palace|royal plumage, featherland|peacock gardens, royal tours|year-round|fly to regal feathers airport|temperate
mirage oasis|illusion desert, visionland|optical illusion tours, sand dune safaris|year-round|fly to shifting sands airport|desert
pineapple plantation|tropical fruit, island haven|pineapple farms, fruit tastings|year-round|fly to pineapple paradise airport|tropical
rune ruins|mystic stones, enchantedland|ancient rune tours, magic workshops|year-round|fly to enigma airport|temperate
crystal caverns|geode grotto, gemstone|cave tours, crystal mining|year-round|fly to crystal chamber airport|mild
evergreen escape|pine forest, woodland|nature walks, wildlife encounters|year-round|fly to emerald forest airport|temperate
sculpture sands|artistic dunes, sandland|sand sculpture festivals, beachcombing|year-round|fly to sandcastle airport|desert
cinnamon cove|spice island, flavorland|cinnamon plantations, cooking classes|year-round|fly to cinnamon swirl airport|tropical
kakariko village|hyrule|meet impa|all year|walk|hylian
death mountain|hyrule|goron dancing|fall|walk|goron
lost woods|hyrule|play the ocarina|spring|walk|kokiri
gerudo valley|hyrule|horseback archery|summer|horseback|gerudo
lake hylia|hyrule|fishing|spring|walk|hylian
lon lon ranch|hyrule|horse racing|all year|horseback|hylian
hateno village|hyrule|visit the dye shop|all year|walk|hylian
rito village|hyrule|flight range|fall|air|rito
korok forest|hyrule|korok seed hunting|spring|walk|korok
tarrey town|hyrule|wedding|all year|teleport|hylian
snowpeak ruins|hyrule|snowboarding|winter|walk|yeti
skyloft|sky|bird riding|all year|air|hylian
dragon roost island|great sea|mail sorting|summer|air|rito
windfall island|great sea|auction house|all year|walk|hylian
outset island|great sea|pig chasing|spring|walk|hylian
forest haven|great sea|visit the deku tree|all year|walk|korok
greatfish isle|great sea|fishing|summer|swim|hylian
bomb island|great sea|bomb puzzle|fall|walk|hylian
beedle's shop ship|great sea|shopping|all year|swim|hylian
clock town|termina|carnival of time|all year|walk|hylian
woodfall|termina|learn a new song|spring|walk|deku
snowhead|termina|goron races|winter|horseback|goron
great bay|termina|swim with the zoras|summer|swim|zora
ikana canyon|termina|visit ancient castle|fall|walk|hylian
romani ranch|termina|alien defense|summer|horseback|hylian
southern swamp|termina|pictograph contest|spring|walk|hylian
mountain village|termina|snowball fights|winter|walk|goron
zora hall|termina|zora band practice|all year|swim|zora
milk road|termina|gorman track races|summer|horseback|hylian
sky city|twilight realm|ocococo rescue|all year|air|ocococo
eldin volcano|hyrule|bomb bowling|summer|walk|hylian
lanayru desert|hyrule|minecart ride|fall|walk|hylian
seaside laboratory|hyrule|marine research|all year|swim|hylian
skull woods|hyrule|skull mask trading|spring|walk|stalchild
thieves' town|hyrule|pickpocketing|all year|walk|hylian
death mountain crater|hyrule|fire tunic shopping|summer|teleport|goron
zora's river|hyrule|frog choir|spring|swim|zora
fairy fountain|hyrule|magic upgrades|all year|teleport|fairy
hyrule castle town|hyrule|market shopping|all year|walk|hylian
ancient cistern|hyrule|explore the temple|spring|swim|hylian
arbiter's grounds|hyrule|mirror shard quest|fall|walk|hylian
city in the sky|hyrule|ocarina duet|all year|air|ocococo
faron woods|hyrule|forest temple|spring|walk|hylian
temple of time|hyrule|solve puzzles|all year|walk|hylian
lurelin village|hyrule|treasure chest game|summer|walk|hylian
spectacle rock|hyrule|rock climbing|fall|walk|hylian
koloktos|hyrule|boss battle|all year|teleport|hylian
tower of the gods|great sea|goddess statues|spring|swim|hylian
stone tower temple|termina|flip the temple|fall|walk|hylian
pyramid|hyrule|desert treasure hunt|summer|walk|hylian
sacred grove|hyrule|master sword quest|spring|walk|hylian
ikana graveyard|termina|captain keeta battle|fall|walk|hylian
symmetry city|labrynna|solve the mystery|spring|walk|hylian
talus cave|holodrum|ice puzzle|winter|walk|hylian
subrosia|holodrum|visit the volcano|all year|teleport|subrosian
crescent island|labrynna|tokay minigame|summer|swim|tokay
tarm ruins|labrynna|explore the ruins|spring|walk|hylian
goron mountain|holodrum|biggoron sword quest|summer|walk|goron
lynnna city|labrynna|visit the black tower|all year|walk|hylian
horon village|holodrum|plant gasha seeds|spring|walk|hylian
zora village|labrynna|zora scale quest|summer|swim|zora
nayru's house|labrynna|meet nayru|all year|teleport|hylian
din's house|holodrum|meet din|all year|teleport|hylian
farore's house|holodrum|meet farore|all year|teleport|hylian
spool swamp|holodrum|floodgate puzzle|spring|swim|hylian
sunken city|holodrum|uncover secrets|all year|teleport|hylian
crown dungeon|labrynna|mermaid suit quest|summer|swim|zora
islet of steel|great sea|cannon challenge|fall|swim|hylian
diamond steppe island|great sea|ghost ship puzzle|all year|teleport|hylian
headstone island|great sea|earth temple entrance|spring|walk|hylian
forbidden woods|great sea|forest haven dungeon|summer|air|korok
pawprint isle|great sea|secret cave|all year|swim|hylian
blue lagoon|reykjavik, iceland|geothermal spa|year-round|bus or car|cold oceanic
tikal|el petén, guatemala|mayan ruins|december to april|plane or bus|tropical rainforest
angkor wat|siem reap, cambodia|hindu temple|november to february|plane or car|tropical savanna
great barrier reef|queensland, australia|coral reef|june to october|boat or plane|tropical monsoon
yellow mountain|anhui, china|mountain range|april to november|cable car or bus|humid subtropical
banff national park|alberta, canada|mountain range|june to august|car or bus|subarctic
red sea reef|egypt|coral reef|june to august|boat or plane|desert
kruger national park|limpopo, south africa|wildlife reserve|may to september|car or plane|subtropical
santorini|greece|volcanic island|april to november|boat or plane|mediterranean
cappadocia|nevşehir, turkey|rock formations|april to june and september to november|plane or bus|continental
bora bora|french polynesia|island resort|may to october|plane|tropical
sossusvlei|namibia|red dunes|may to september|car or plane|desert
yosemite national park|california, usa|wildlife reserve|may to september|car or bus|continental
uluru|northern territory, australia|sandstone formation|may to september|car or plane|desert
the great ocean road|victoria, australia|coastal drive|november to february|car|temperate
inca trail|cusco, peru|hiking trail|may to september|foot or horse|tropical mountain
isle of skye|scotland|island|may to september|car or bus|temperate oceanic
guilin and yangshuo|guangxi, china|karst hills|april to october|boat or plane|humid subtropical
maasai mara national reserve|narok, kenya|wildlife reserve|july to october|car or plane|tropical
banff springs hotel|alberta, canada|hotel|june to august|car or bus|subarctic
halong bay|quảng ninh, vietnam|limestone islands|march to may and september to november|boat or plane|tropical monsoon
milford sound|south island, new zealand|fiord|november to march|car or bus|temperate oceanic
plitvice lakes national park|lika-senj, croatia|lakes|june to september|car or bus|mediterranean
easter island|rapa nui, chile|archaeological site|november to february|plane|subtropical
neuschwanstein castle|bavaria, germany|castle|april to october|car or bus|humid continental
san diego|california|sea cave kayaking|sumer|plane|reservation:yes
anaheim|california|disneyland|all year|plane|reservation:yes
universal city|california|all year|universal studios|plane|reservation:yes
seatle|whashington|snoqualmie falls|sumer|drive|reservation:yes
willow beach|arizona|half day emerald cove kayak tour|sumer|plane|reservation:yes
lechee|arizona|lower antelope canyon|sumer|plane|reservation:yes
grand canyon|arizona|45 minutes helicopter flight over the grand canyon|sumer|plane|reservation:yes
phoenix|arizona|morning hot air ballon flight over phoenix|sumer|plane|reservation:yes
bryce|utah|hiking exprerience in bryce canyon national park|all year|drive or plane|reservation:yes
moab|utah|fisher towers half day rafting day trip|sumer|drive or plane|reservation:yes
austin|texas|bat congregation|spring|plane|reservation:yes
boston|massachusetts|faneuil hall|summer|boat|reservation:yes
new orleans|louisiana|st. louis cathedral|early spring|bike|reservation:yes
san francisco|california|golden gate bridge|summer|plane|reservation:no
arches national park|utah|the crazy dunes and spires|all year|car|reservation:no
washington, dc|washington, dc|the national archives museum|july|plane|reservation:yes
new york|new york|central park|spring|car|reservation:no
miami|florida|amazing beaches|all year|plane|reservation:no
portland|oregon|the gorgeous nature around the city|never|walk|reservation:no
stanley|idaho|alice lake|nevcar|reservation:no
yellowstone national park|wyoming|ol faithful, lamarvalley|all year|car|reservation:yes
mt hood|oregon|zig zag trail|summer|car|reservation:no
atlanta|georgia|cocola factory|all year|plane|reservation:no
orlando|florida|disneyworld|all year|plane|reservation:yes
albuquerque|new mexico|hot air balloon ride|summer|plane|reservation:yes
seaside|oregon|seaside beach|summer|drive|reservation:no
chicago|illinois|the art institute of chicago|all year|plane|reservation:no
los angeles|california|rodeo drive|summer|plane|reservation:no
san jose|california|jdm car meet|summer|drive|reservation:no
new york city|new york|get food from local restaurants|all year|plane|reservation:yes
las vegas|nevada|las vegas strip|summer|plane|reservation:no

